0	1	2	1.600292
0	1	14	0.724212
0	1	0	0.629863
0	1	3	0.591187
0	1	10	0.466734
0	1	11	0.334708
0	1	5	0.096826
0	1	15	-0.058008
0	1	9	-0.192223
0	1	16	-0.372831
0	1	18	-0.477728
0	1	8	-0.516574
0	1	7	-0.524993
0	1	6	-0.779024
0	1	1	-1.032584
0	1	4	-1.353253
0	1	19	-1.585585
0	1	12	-1.798520
0	1	13	-3.185471
0	1	17	-3.896459
0	2	2	1.607717
0	2	14	1.193418
0	2	3	1.160864
0	2	0	0.566314
0	2	10	0.404350
0	2	7	0.230489
0	2	5	-0.042233
0	2	11	-0.145389
0	2	15	-0.425899
0	2	8	-0.586460
0	2	9	-0.760437
0	2	18	-0.765307
0	2	6	-0.922127
0	2	16	-0.926345
0	2	1	-1.196022
0	2	19	-1.542307
0	2	4	-1.562815
0	2	12	-2.379033
0	2	13	-4.444005
0	2	17	-4.627785
0	3	3	1.691924
0	3	10	1.440167
0	3	5	0.888932
0	3	14	0.752290
0	3	16	0.687821
0	3	18	0.673285
0	3	2	0.662670
0	3	0	0.579248
0	3	9	0.572671
0	3	8	0.427276
0	3	15	0.245585
0	3	11	0.240236
0	3	1	0.238008
0	3	6	0.234336
0	3	4	0.082455
0	3	19	0.019624
0	3	7	-0.747657
0	3	12	-1.179291
0	3	13	-1.369708
0	3	17	-1.740152
0	14	30	1.002867
0	14	61	0.657053
0	14	39	0.614414
0	14	55	0.604194
0	14	23	0.567600
0	14	64	0.551808
0	14	22	0.548344
0	14	40	0.530383
0	14	56	0.492423
0	14	51	0.450157
0	14	21	0.359140
0	14	14	0.322279
0	14	78	0.316293
0	14	50	0.244836
0	14	77	0.213587
0	14	63	0.199522
0	14	3	0.188005
0	14	42	0.168814
0	14	27	0.161627
0	14	38	0.138594
0	14	34	0.049790
0	14	57	0.022164
0	14	45	0.015101
0	14	66	0.011526
0	14	25	-0.010663
0	14	54	-0.011132
0	14	26	-0.019499
0	14	31	-0.032177
0	14	11	-0.034653
0	14	28	-0.065817
0	14	43	-0.109030
0	14	74	-0.120586
0	14	52	-0.134544
0	14	85	-0.154178
0	14	72	-0.172881
0	14	73	-0.182902
0	14	32	-0.198620
0	14	36	-0.214383
0	14	18	-0.221163
0	14	75	-0.233992
0	14	48	-0.273342
0	14	35	-0.288166
0	14	16	-0.289556
0	14	8	-0.299087
0	14	79	-0.347940
0	14	71	-0.350857
0	14	53	-0.408492
0	14	37	-0.411352
0	14	46	-0.412919
0	14	41	-0.435508
0	14	49	-0.441906
0	14	65	-0.462889
0	14	33	-0.484617
0	14	62	-0.491939
0	14	76	-0.497519
0	14	44	-0.501018
0	14	20	-0.573909
0	14	58	-0.576125
0	14	70	-0.597025
0	14	69	-0.602017
0	14	29	-0.624105
0	14	47	-0.689913
0	14	24	-0.831968
0	15	39	0.379802
0	15	23	0.360404
0	15	63	0.345175
0	15	51	0.337115
0	15	30	0.317643
0	15	55	0.293984
0	15	22	0.278695
0	15	61	0.271237
0	15	56	0.209686
0	15	77	0.207019
0	15	40	0.173896
0	15	52	0.152514
0	15	57	0.140756
0	15	50	0.138075
0	15	25	0.104196
0	15	64	0.087247
0	15	32	0.086830
0	15	27	0.068385
0	15	43	0.063006
0	15	28	0.062752
0	15	42	0.060954
0	15	38	0.059501
0	15	78	0.055699
0	15	35	0.053930
0	15	8	0.012298
0	15	3	0.009613
0	15	74	0.008669
0	15	54	0.002484
0	15	26	-0.003483
0	15	11	-0.029109
0	15	46	-0.038126
0	15	73	-0.052069
0	15	18	-0.060449
0	15	66	-0.063028
0	15	21	-0.071667
0	15	58	-0.091620
0	15	31	-0.103881
0	15	16	-0.112392
0	15	14	-0.135295
0	15	45	-0.145164
0	15	62	-0.149125
0	15	36	-0.154281
0	15	33	-0.159911
0	15	34	-0.169584
0	15	72	-0.170219
0	15	85	-0.176289
0	15	20	-0.186558
0	15	48	-0.223753
0	15	76	-0.239646
0	15	37	-0.241483
0	15	71	-0.245153
0	15	53	-0.248081
0	15	44	-0.261469
0	15	47	-0.278707
0	15	49	-0.287199
0	15	70	-0.291471
0	15	41	-0.301258
0	15	24	-0.307341
0	15	75	-0.310061
0	15	69	-0.318480
0	15	79	-0.321092
0	15	65	-0.405226
0	15	29	-0.552676
0	16	30	1.027945
0	16	22	0.737990
0	16	51	0.619983
0	16	50	0.477167
0	16	56	0.476724
0	16	61	0.468661
0	16	64	0.460269
0	16	39	0.429715
0	16	23	0.427357
0	16	14	0.420176
0	16	55	0.372815
0	16	3	0.281890
0	16	40	0.222852
0	16	78	0.175212
0	16	63	0.161670
