0	1	2	-0.482341
0	1	11	-0.800015
0	1	14	-0.880924
0	1	10	-1.054857
0	1	0	-1.196145
0	1	7	-1.350249
0	1	1	-1.540149
0	1	6	-2.074291
0	1	8	-2.405488
0	1	12	-2.438408
0	1	5	-2.443253
0	1	18	-2.594031
0	1	9	-3.155120
0	1	16	-3.209129
0	1	3	-3.209515
0	1	13	-4.093124
0	1	4	-4.425489
0	1	19	-4.589541
0	1	15	-5.115498
0	1	17	-7.853868
0	2	7	0.938857
0	2	3	0.679416
0	2	8	0.258137
0	2	11	-0.932706
0	2	1	-1.678364
0	2	10	-1.842928
0	2	0	-2.124820
0	2	12	-2.639466
0	2	14	-2.751263
0	2	2	-3.092253
0	2	5	-3.223320
0	2	6	-3.479631
0	2	18	-3.615344
0	2	9	-4.426526
0	2	13	-5.219386
0	2	19	-5.236129
0	2	15	-5.677087
0	2	16	-5.928550
0	2	4	-6.168312
0	2	17	-8.869276
0	3	14	2.443631
0	3	10	2.025866
0	3	3	1.856516
0	3	1	1.343983
0	3	13	0.571076
0	3	8	0.360035
0	3	18	0.140692
0	3	6	0.019568
0	3	11	-0.007456
0	3	15	-0.433846
0	3	5	-0.886436
0	3	12	-0.946880
0	3	2	-1.380475
0	3	7	-1.462121
0	3	19	-1.462281
0	3	0	-1.885674
0	3	16	-2.252123
0	3	9	-2.805359
0	3	4	-2.958424
0	3	17	-5.029428
0	14	23	3.285005
0	14	39	2.692686
0	14	51	2.674401
0	14	63	2.332447
0	14	56	1.883589
0	14	21	1.554596
0	14	43	1.381967
0	14	48	1.172668
0	14	11	0.915490
0	14	37	0.734453
0	14	65	0.698142
0	14	78	0.668813
0	14	26	0.632653
0	14	76	0.632314
0	14	61	0.397416
0	14	14	0.391556
0	14	32	0.292398
0	14	53	0.253058
0	14	57	0.238056
0	14	38	0.207328
0	14	58	0.200176
0	14	41	0.190756
0	14	25	0.034555
0	14	62	-0.040486
0	14	44	-0.074685
0	14	30	-0.098637
0	14	29	-0.101585
0	14	31	-0.160572
0	14	74	-0.266366
