0	1	2	-13.316557
0	1	9	-13.640976
0	1	5	-15.464977
0	1	4	-15.556993
0	1	19	-16.661053
0	1	6	-16.903212
0	1	0	-17.303158
0	1	15	-18.828144
0	1	18	-18.899668
0	1	1	-19.393801
0	1	3	-19.499207
0	1	8	-20.299202
0	1	10	-22.264433
0	1	7	-22.341738
0	1	11	-22.410978
0	1	14	-23.504919
0	1	13	-23.861113
0	1	12	-24.541817
0	1	16	-25.724627
0	1	17	-27.180706
0	2	9	-7.899354
0	2	5	-8.045597
0	2	2	-8.612908
0	2	1	-9.219128
0	2	4	-9.401426
0	2	15	-9.963090
0	2	3	-11.636610
0	2	0	-12.686276
0	2	6	-12.707009
0	2	8	-13.996311
0	2	18	-15.125125
0	2	10	-16.742840
0	2	17	-17.316851
0	2	14	-17.578035
0	2	11	-19.260208
0	2	12	-19.506365
0	2	19	-19.642216
0	2	7	-19.791910
0	2	13	-20.549566
0	2	16	-20.658722
0	3	4	-15.410202
0	3	9	-16.340189
0	3	1	-16.452410
0	3	0	-18.274689
0	3	15	-18.342731
0	3	5	-19.404465
0	3	6	-20.565922
0	3	2	-20.861280
0	3	19	-21.427471
0	3	3	-21.471634
0	3	12	-22.524757
0	3	11	-22.619545
0	3	10	-23.966227
0	3	18	-24.127081
0	3	7	-25.177109
0	3	17	-25.390579
0	3	14	-26.649412
0	3	8	-27.096554
0	3	13	-29.293568
0	3	16	-29.943659
0	14	45	-19.454460
0	14	23	-20.699471
0	14	27	-20.986961
0	14	43	-21.104923
0	14	31	-21.461178
0	14	69	-22.091326
0	14	28	-22.307215
0	14	14	-22.334967
0	14	56	-22.566229
0	14	26	-23.017088
0	14	57	-23.083508
0	14	38	-23.194218
0	14	32	-23.203505
0	14	52	-23.227842
0	14	85	-23.416258
0	14	51	-23.485977
0	14	58	-23.595968
0	14	3	-23.631435
0	14	25	-23.909359
0	14	30	-23.931438
0	14	37	-23.966436
0	14	22	-24.016497
0	14	63	-24.384371
0	14	74	-24.478868
0	14	53	-24.501883
0	14	61	-24.515514
0	14	40	-24.930666
0	14	54	-24.945019
0	14	71	-24.963982
0	14	48	-25.368139
0	14	72	-25.571419
0	14	29	-25.662552
0	14	50	-26.049952
0	14	8	-26.053062
0	14	21	-26.166309
0	14	46	-26.440014
0	14	42	-26.646677
0	14	36	-26.715693
0	14	65	-26.863878
0	14	41	-26.923136
0	14	62	-27.012690
0	14	79	-27.135176
0	14	66	-27.240461
0	14	20	-27.490917
0	14	49	-28.098116
0	14	78	-28.506687
0	14	75	-28.579493
0	14	47	-28.614687
0	14	33	-29.430037
0	14	18	-29.567413
0	14	35	-29.586645
0	14	34	-29.730614
0	14	70	-30.337349
0	14	55	-30.338020
0	14	64	-30.439278
0	14	39	-30.442789
0	14	73	-30.451536
0	14	24	-30.792332
0	14	44	-31.062981
0	14	76	-31.176699
0	14	16	-31.198984
0	14	11	-31.211773
0	14	77	-31.301720
0	15	23	-17.589392
0	15	51	-19.118551
0	15	14	-19.752037
0	15	37	-19.922173
0	15	69	-19.962908
0	15	43	-20.174026
0	15	62	-20.398115
0	15	50	-20.604967
0	15	45	-20.671869
0	15	3	-20.735228
0	15	53	-20.781391
0	15	28	-21.082739
0	15	74	-21.320574
0	15	58	-21.633717
0	15	48	-21.933563
0	15	22	-22.009130
0	15	31	-22.615231
0	15	56	-22.655167
0	15	52	-22.781790
0	15	26	-22.839443
0	15	42	-23.564741
0	15	29	-23.941505
0	15	32	-23.998072
0	15	25	-24.100830
0	15	30	-24.112524
0	15	8	-24.164555
0	15	57	-24.192497
0	15	54	-24.243416
0	15	63	-24.355740
0	15	65	-24.658253
0	15	46	-24.726059
0	15	79	-25.202110
0	15	61	-25.303673
0	15	36	-25.372599
0	15	64	-25.655630
0	15	27	-25.704889
0	15	20	-26.287157
0	15	34	-26.416721
0	15	38	-26.419987
0	15	40	-27.159451
0	15	85	-27.346748
0	15	21	-27.411367
0	15	78	-27.473829
0	15	35	-28.078243
0	15	41	-28.221939
0	15	71	-28.609949
0	15	70	-29.004587
0	15	66	-29.058907
0	15	18	-29.083942
0	15	39	-29.098278
0	15	49	-29.222908
0	15	33	-29.234182
0	15	11	-29.287298
0	15	47	-29.581194
0	15	55	-30.148382
0	15	72	-30.293671
0	15	77	-30.431936
0	15	16	-30.508732
0	15	76	-30.552530
0	15	73	-30.765478
0	15	75	-30.842821
