query	1	benchmarking is the practice of comparing business processes and performance metrics to industry bests and best practices from other companies. dimensions typically measured are quality, time and cost.  benchmarking is used to measure performance using a specific indicator  cost per unit of measure, productivity per unit of measure, cycle time of x per unit of measure or defects per unit of measure  resulting in a metric of performance that is then compared to others.also referred to as  best practice benchmarking  or  process benchmarking , this process is used in management in which organizations evaluate various aspects of their processes in relation to best practice companies  processes, usually within a peer group defined for the purposes of comparison. this then allows organizations to develop plans on how to make improvements or adapt specific best practices, usually with the aim of increasing some aspect of performance
query	2	bodybuilding is the use of progressive resistance exercise to control and develop one s musculature for aesthetic purposes. an individual who engages in this activity is referred to as a bodybuilder. in competitive bodybuilding, bodybuilders appear in lineups and perform specified poses  and later individual posing routines  for a panel of judges who rank the competitors based on criteria such as symmetry, muscularity, size, conditioning, posing, and stage presentation. bodybuilders prepare for competitions through the elimination of nonessential body fat, enhanced at the last stage by a combination of extracellular dehydration and carbohydrate loading, to achieve maximum muscular definition and vascularity, as well as tanning to accentuate the contrast of the skin under the spotlights. bodybuilders may use anabolic steroids and other performance enhancing drugs to build muscles
query	3	brainstorming is a group creativity technique by which efforts are made to find a conclusion for a specific problem by gathering a list of ideas spontaneously contributed by its members. in other words, brainstorming is a situation where a group of people meet to generate new ideas and solutions around a specific domain of interest by removing inhibitions. people are able to think more freely and they suggest as many spontaneous new ideas as possible. all the ideas are noted down without criticism and after the brainstorming session the ideas are evaluated. the term was popularized by alex faickney osborn in the 1953 book applied imagination
query	4	chain smoking is the practice of smoking several cigarettes in succession, sometimes using the ember of a finished cigarette to light the next. the term chain smoker often also refers to a person who smokes relatively constantly, though not necessarily chaining each cigarette. the term applies primarily to cigarettes, although it can be used to describe incessant cigar and pipe smoking as well. it is a common form of addiction.  
query	5	funding is the act of providing resources to finance a need, program, or project. while this is usually in the form of money, it can also take the form of effort or time from an organization or company. generally, this word is used when a firm uses its internal reserves to satisfy its necessity for cash, while the term financing is used when the firm acquires capital from external sources.sources of funding include credit, venture capital, donations, grants, savings, subsidies, and taxes. fundings such as donations, subsidies, and grants that have no direct requirement for return of investment are described as  soft funding  or  crowdfunding 
query	6	hair coloring, or hair dyeing, is the practice of changing the hair color. the main reasons for this are cosmetic  to cover gray or white hair, to change to a color regarded as more fashionable or desirable, or to restore the original hair color after it has been discolored by hairdressing processes or sun bleaching. hair coloring can be done professionally by a hairdresser or independently at home. today, hair coloring is very popular, with 75  of women and 18  of men living in copenhagen having reported using hair dye  according to a study by the university of copenhagen . at home coloring in the united states reached  1
query	7	in traffic laws, a hit and run is the act of causing  a traffic accident and not stopping afterwards. it is considered a supplemental crime in most jurisdictions.
query	8	language acquisition is the process by which humans acquire the capacity to perceive and comprehend language  in other words, gain the ability to be aware of language and to understand it , as well as to produce and use words and sentences to communicate. language acquisition involves structures, rules and representation. the capacity to successfully use language requires one to acquire a range of tools including phonology, morphology, syntax, semantics, and an extensive vocabulary. language can be vocalized as in speech, or manual as in sign. human language capacity is represented in the brain
query	9	mediation is a dynamic, structured, interactive process where an impartial third party assists disputing parties in resolving conflict through the use of specialized communication and negotiation techniques. all participants in mediation are encouraged to actively participate in the process. mediation is a  party centered  process in that it is focused primarily upon the needs, rights, and interests of the parties. the mediator uses a wide variety of techniques to guide the process in a constructive direction and to help the parties find their optimal solution. a mediator is facilitative in that she he manages the interaction between parties and facilitates open communication
query	10	a pull up is an upper body strength exercise. the pull up is a closed chain movement where the body is suspended by the hands and pulls up. as this happens, the elbows flex and the shoulders adduct and extend to bring the elbows to the torso.  the term chin up, traditionally referring to a pull up with the chin brought over the top of a bar, was used in the 1980s to refer to a pronated, or overhand, grip, with a supinated, or underhand, grip being called a  reverse grip  chin up.  in later decades, this usage has inverted, with some using  chin up  to refer to a pull up done with a supinated hand position, while  pull up  refers specifically to the exercise done with a pronated hand position
query	11	in the context of information security, and especially network security, a spoofing attack is a situation in which a person or program successfully identifies as another by falsifying data, to gain an illegitimate advantage.
query	12	spray painting is a painting technique where a device sprays a coating  paint, ink, varnish, etc.  through the air onto a surface. the most common types employ compressed gas usually air to atomize and direct the paint particles. spray guns evolved from airbrushes, and the two are usually distinguished by their size and the size of the spray pattern they produce. airbrushes are hand held and used instead of a brush for detailed work such as photo retouching, painting nails or fine art
query	13	translation is the communication of the meaning of a source language text by means of an equivalent target language text. the english language draws a terminological distinction  which does not exist in every language  between translating  a written text  and interpreting  oral or signed communication between users of different languages   under this distinction, translation can begin only after the appearance of writing within a language community. a translator always risks inadvertently introducing source language words, grammar, or syntax into the target language rendering. on the other hand, such  spill overs  have sometimes imported useful source language calques and loanwords that have enriched target languages. translators, including early translators of sacred texts, have helped shape the very languages into which they have translated
query	14	all about my mother  spanish  todo sobre mi madre  is a 1999 spanish drama film written and directed by pedro almod var, and starring cecilia roth, marisa paredes, antonia san juan, pen lope cruz and candela pe a. the plot originates in almod var s earlier film the flower of my secret  1995  which shows student doctors being trained in how to persuade grieving relatives to allow organs to be used for transplant, focusing on the mother of a teenager killed in a road accident. all about my mother deals with complex issues such as aids, homosexuality, transsexualism, faith, and existentialism. the film was a commercial and critical success internationally, winning the oscar for best foreign language film in addition to the golden globe for best foreign language film and the bafta awards for best film not in the english language and best direction  almod var . the film also won 6 goya awards including best film, best director  almod var , best actress  roth 
query	15	back to the future is a 1985 american science fiction film directed by robert zemeckis and written by zemeckis and bob gale. it stars michael j. fox as teenager marty mcfly, who accidentally travels back in time from 1985 to 1955, where he meets his future parents and becomes his mother s romantic interest. christopher lloyd portrays the eccentric scientist dr. emmett  doc  brown, his friend and the inventor of the time traveling delorean automobile, who helps marty repair history and return to 1985
query	16	braveheart is a 1995 american epic war film directed and co produced by mel gibson, who portrays william wallace, a late 13th century scottish warrior. the film is fictionally based on the life of wallace leading the scots in the first war of scottish independence against king edward i of england. the film also stars sophie marceau, patrick mcgoohan and catherine mccormack. the story is inspired by blind harry s epic poem the actes and deidis of the illustre and vallyeant campioun schir william wallace and was adapted for the screen by randall wallace. development on the film initially started at metro goldwyn mayer when producer alan ladd jr
